category,product,description,currency,price,base,PPP,eX,valued
Devices,iPhone 12,64GB,INR,79900.0,INR,1.0,1.0,0.0
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,INR,92900.0,INR,1.0,1.0,0.0
Devices,PS5,Disk Version,INR,49990.0,INR,1.0,1.0,0.0
Devices,XBOX Series X,4k Variant,INR,49990.0,INR,1.0,1.0,0.0
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",INR,105999.0,INR,1.0,1.0,0.0
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,INR,4230.3,INR,1.0,1.0,0.0
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,INR,4199.0,INR,1.0,1.0,0.0
Softwares,iCloud ,iCloud 50GB,INR,75.0,INR,1.0,1.0,0.0
Content,Netflix ,Premium Plan per month,INR,799.0,INR,1.0,1.0,0.0
Content,Amazon Prime,per month,INR,129.0,INR,1.0,1.0,0.0
Content,Disney +,Yearly,INR,1499.0,INR,1.0,1.0,0.0
Content,YouTube Premium,Youtube Premium with YT music,INR,129.0,INR,1.0,1.0,0.0
Content,Spotify,Individual plan - 1 month,INR,119.0,INR,1.0,1.0,0.0
Content,Apple Music,Individual 1 month,INR,99.0,INR,1.0,1.0,0.0
Devices,iPhone 12,64GB,USD,902.6152,INR,88.52055671120984,72.3497,-0.22350965810790968
Devices,MacBook Air,Apple M1 Chip with 8‑Core CPU and 7‑Core GPU 256GB Storage,USD,1087.7112,INR,85.4087003976791,72.3497,-0.18049833513724445
Devices,PS5,Disk Version,USD,544.389112,INR,91.82769988978032,72.3497,-0.26922018874688236
Devices,XBOX Series X,4k Variant,USD,543.3112,INR,92.00988310198649,72.3497,-0.27173828090491714
Devices,Samsung Galaxy S21 Ultra,"Galaxy S21 Ultra 5G 256 GB, 12GB",USD,1360.989112,INR,77.88379720704188,72.3497,-0.07649094891951003
Softwares,Adobe CC,Adobe CC All Apps Annual Plan Monthly Payment,USD,57.695512,INR,73.32112764680899,72.3497,-0.013426837247549006
Softwares,Microsoft 365 ,Microsoft 365 Personal Annual Plan,USD,76.205112,INR,55.10129031763643,72.3497,0.23840333384054901
Softwares,iCloud ,iCloud 50GB,USD,1.077912,INR,69.57896377440831,72.3497,0.038296443877330444
